tips,trip_start_timestamp,trip_seconds,trip_miles,pickup_community_area,pickup_centroid_latitude,pickup_centroid_longitude,dropoff_community_area,fare,tolls,extras,trip_total
0,2023-01-31T23:30:00.000,960,11.8,7,41.922686284,-87.649488729,56,30.5,0,0,30.5
0,2023-01-31T23:30:00.000,1633,8.56,28,41.874005383,-87.66351755,71,24.5,0,0,24.5
8.4,2023-01-31T23:30:00.000,1739,13.94,,,,3,36.5,0,5,50.4
0,2023-01-31T23:30:00.000,35594,11.69,28,41.874005383,-87.66351755,13,29.5,0,0,29.5
3,2023-01-31T23:30:00.000,282,2.8,28,41.874005383,-87.66351755,24,9.5,0,0,13
0,2023-01-31T23:30:00.000,1140,5.9,6,41.944226601,-87.655998182,24,17.75,0,0,17.75
3,2023-01-31T23:30:00.000,1440,12.8,76,41.980264315,-87.913624596,4,33.5,0,4,40.5
0,2023-01-31T23:30:00.000,30,0.03,9,42.007612593,-87.813781034,9,3.25,0,0,3.25
14.32,2023-01-31T23:30:00.000,1506,16.93,76,41.980264315,-87.913624596,28,42.25,0,5,62.07
0,2023-01-31T23:30:00.000,1446,7.61,76,41.980264315,-87.913624596,,23.25,0,10.5,33.75
8.66,2023-01-31T23:30:00.000,1901,21.82,56,41.79259236,-87.769615453,48,53.25,0,4,66.41
0,2023-01-31T23:30:00.000,0,0,50,41.706125752,-87.598255838,50,3.25,0,0,3.25
0,2023-01-31T23:30:00.000,1628,7.67,48,41.729676423,-87.572717134,44,25.25,0,0,25.25
0,2023-01-31T23:30:00.000,840,7,50,41.706125752,-87.598255838,43,19.25,0,0,19.25
0,2023-01-31T23:30:00.000,484,3.04,76,41.980264315,-87.913624596,,10.5,0,3,13.5
9.68,2023-01-31T23:30:00.000,1682,16.19,76,41.97907082,-87.903039661,,40,0,24,74.18
3,2023-01-31T23:30:00.000,495,1.76,28,41.879255084,-87.642648998,8,8,0,1,12.5
0,2023-01-31T23:30:00.000,1620,13.5,76,41.97907082,-87.903039661,,34.5,0,8,42.5
0,2023-01-31T23:30:00.000,708,7.04,8,41.899602111,-87.633308037,77,19.25,0,0,19.25
0,2023-01-31T23:30:00.000,1428,17.86,76,41.97907082,-87.903039661,,43.25,0,5,48.25
4,2023-01-31T23:30:00.000,586,1.75,28,41.879255084,-87.642648998,8,8.5,0,1,14
7.05,2023-01-31T23:30:00.000,1270,17.18,76,41.980264315,-87.913624596,32,42.5,0,4,54.05
3,2023-01-31T23:30:00.000,360,0,8,41.899602111,-87.633308037,7,7,0,0,10
8,2023-01-31T23:30:00.000,1243,16.03,,,,7,39.5,0,4,52
11.45,2023-01-31T23:30:00.000,1270,13.62,76,41.980264315,-87.913624596,,33.75,0,23,68.7
0,2023-01-31T23:30:00.000,939,11.13,36,41.82371281,-87.602350437,56,28.5,0,0,28.5
0,2023-01-31T23:30:00.000,886,9.86,,,,24,26.75,0,0,26.75
11.35,2023-01-31T23:30:00.000,1260,16.5,76,41.980264315,-87.913624596,8,41,0,4,56.35
3.75,2023-01-31T23:30:00.000,660,0.2,8,41.899602111,-87.633308037,24,12,0,0,15.75
2,2023-01-31T23:30:00.000,480,0,8,41.899602111,-87.633308037,8,7,0,0,9
1.99,2023-01-31T23:15:00.000,354,1.86,76,41.980264315,-87.913624596,,7.75,0,5,15.24
4,2023-01-31T23:15:00.000,523,2.43,6,41.944226601,-87.655998182,5,9.25,0,0,13.75
9.3,2023-01-31T23:15:00.000,1195,17.21,76,41.97907082,-87.903039661,8,42,0,4,55.8
1,2023-01-31T23:15:00.000,480,1.3,28,41.874005383,-87.66351755,8,7.25,0,0,8.25
0,2023-01-31T23:15:00.000,321,0.85,3,41.96581197,-87.655878786,3,5.75,0,0,5.75
0,2023-01-31T23:15:00.000,1077,10.62,19,41.927260956,-87.765501609,,28,0,0,28
13.85,2023-01-31T23:15:00.000,1675,16.92,,,,,43.75,0,25,83.1
0,2023-01-31T23:15:00.000,552,1.01,8,41.899602111,-87.633308037,8,7.25,0,0,7.25
6.5,2023-01-31T23:15:00.000,1253,10.98,76,41.980264315,-87.913624596,,28,0,4,39
0,2023-01-31T23:15:00.000,1367,10.13,29,41.860190019,-87.7172201,28,27.5,0,0,27.5
9.25,2023-01-31T23:15:00.000,1117,17.02,,,,8,41.75,0,4,55.5
0,2023-01-31T23:15:00.000,1405,17.24,76,41.980264315,-87.913624596,8,43,0,4,47.5
0,2023-01-31T23:15:00.000,1363,12.88,28,41.874005383,-87.66351755,43,43.22,0,0,43.22
1,2023-01-31T23:15:00.000,541,2.54,8,41.899602111,-87.633308037,7,9.5,0,0,11
7.28,2023-01-31T23:15:00.000,1434,17.8,76,41.980264315,-87.913624596,8,44,0,4,55.78
8,2023-01-31T23:15:00.000,1500,0,76,41.97907082,-87.903039661,8,42,0,4,54
0,2023-01-31T23:15:00.000,180,0.8,8,41.899602111,-87.633308037,32,5,0,0,5
0,2023-01-31T23:15:00.000,996,12.55,11,41.978829526,-87.771166703,,31.5,0,0,31.5
0,2023-01-31T23:15:00.000,737,6.51,8,41.899602111,-87.633308037,27,18.25,0,0,18.25
2,2023-01-31T23:15:00.000,373,1.33,8,41.899602111,-87.633308037,32,7,0,0,9.5
0.87,2023-01-31T23:15:00.000,762,4.71,28,41.874005383,-87.66351755,7,13.55,0,0,14.42
0,2023-01-31T23:15:00.000,780,5.8,32,41.878865584,-87.625192142,39,17,0,0,17
0,2023-01-31T23:15:00.000,369,1.63,24,41.901206994,-87.676355989,8,7.25,0,0,7.25
2.7,2023-01-31T23:15:00.000,873,3.38,28,41.874005383,-87.66351755,28,12,0,1,16.2
8.3,2023-01-31T23:15:00.000,1078,14.98,76,41.980264315,-87.913624596,6,37,0,4,49.8
8.05,2023-01-31T23:15:00.000,1089,13.88,76,41.980264315,-87.913624596,22,34.75,0,5,48.3
0,2023-01-31T23:15:00.000,241,0.86,32,41.878865584,-87.625192142,8,5.25,0,0,5.75
0,2023-01-31T23:15:00.000,260,1.12,28,41.874005383,-87.66351755,32,6,0,0,6
0,2023-01-31T23:15:00.000,1922,10.12,6,41.944226601,-87.655998182,6,29,0,0,29
0,2023-01-31T23:15:00.000,780,3.4,24,41.901206994,-87.676355989,22,11.75,0,0,11.75
4,2023-01-31T23:15:00.000,554,2.03,32,41.878865584,-87.625192142,8,10.62,0,0,14.62
0,2023-01-31T23:15:00.000,2236,25.54,8,41.899602111,-87.633308037,,62.25,0,0,62.25
2,2023-01-31T23:15:00.000,308,1.31,28,41.874005383,-87.66351755,24,6.25,0,0,8.75
0,2023-01-31T23:15:00.000,686,4.56,76,41.980264315,-87.913624596,,14,0,5,19
9.45,2023-01-31T23:15:00.000,2375,16.47,,,,77,42.75,0,4,56.7
0,2023-01-31T23:15:00.000,360,0,33,41.857183858,-87.620334624,35,7,0,0,7
0,2023-01-31T23:15:00.000,971,5.02,32,41.878865584,-87.625192142,23,15.75,0,0,15.75
11,2023-01-31T23:15:00.000,1452,15.8,76,41.980264315,-87.913624596,7,39.5,0,4,55
8.51,2023-01-31T23:15:00.000,1046,13.43,,,,,33.5,0,22.75,65.26
0,2023-01-31T23:15:00.000,0,0,32,41.878865584,-87.625192142,32,3.25,0,1,4.25
2.52,2023-01-31T23:15:00.000,624,2.48,28,41.874005383,-87.66351755,7,10,0,0,12.52
4.33,2023-01-31T23:15:00.000,904,0,32,41.878865584,-87.625192142,6,16.96,0,0,21.29
0,2023-01-31T23:15:00.000,1667,25.31,,,,41,60.75,0,4,64.75
0,2023-01-31T23:15:00.000,507,2.78,24,41.901206994,-87.676355989,7,10,0,0,10
0,2023-01-31T23:15:00.000,120,0,28,41.874005383,-87.66351755,28,4.5,0,1,5.5
0,2023-01-31T23:15:00.000,785,11.79,50,41.706125752,-87.598255838,28,30,0,0,30
0,2023-01-31T23:15:00.000,1325,10.81,4,41.975170943,-87.687515515,77,28.5,0,0,28.5
0,2023-01-31T23:15:00.000,1726,16.1,76,41.980264315,-87.913624596,7,40.75,0,4,44.75
3,2023-01-31T23:15:00.000,282,1.1,28,41.874005383,-87.66351755,32,6,0,0,9.5
7.75,2023-01-31T23:15:00.000,2456,14.87,32,41.878865584,-87.625192142,,30.33,0,0,38.08
0,2023-01-31T23:15:00.000,641,4.05,32,41.878865584,-87.625192142,7,13.25,0,0,13.25
0,2023-01-31T23:15:00.000,925,11.38,32,41.878865584,-87.625192142,44,34.86,0,0,34.86
12.45,2023-01-31T23:15:00.000,1492,15.13,76,41.980264315,-87.913624596,,38.25,0,23.5,74.7
0,2023-01-31T23:15:00.000,480,0.1,6,41.944226601,-87.655998182,5,7.75,0,0,7.75
0,2023-01-31T23:15:00.000,1200,11.6,8,41.899602111,-87.633308037,3,30,0,0,30
0,2023-01-31T23:15:00.000,480,1.8,32,41.878865584,-87.625192142,8,8.25,0,0,8.25
4,2023-01-31T23:15:00.000,300,0,28,41.874005383,-87.66351755,32,5.75,0,0,9.75
0,2023-01-31T23:15:00.000,1255,17.31,76,41.97907082,-87.903039661,32,42.75,0,8,50.75
9.8,2023-01-31T23:00:00.000,1330,17.89,76,41.980264315,-87.913624596,32,44,0,4.5,58.8
3.65,2023-01-31T23:00:00.000,726,6.1,32,41.878865584,-87.625192142,6,17.75,0,0,21.9
2,2023-01-31T23:00:00.000,449,3.23,8,41.899602111,-87.633308037,6,10.75,0,0,13.25
0,2023-01-31T23:00:00.000,855,7.32,33,41.857183858,-87.620334624,6,20.25,0,0,20.25
0,2023-01-31T23:00:00.000,1095,6.33,8,41.899602111,-87.633308037,23,18.75,0,0,18.75
7.5,2023-01-31T23:00:00.000,1259,12.7,,,,,32,0,5,45
0,2023-01-31T23:00:00.000,407,1.38,8,41.899602111,-87.633308037,8,7,0,0,7
7.9,2023-01-31T23:00:00.000,1274,12.61,76,41.980264315,-87.913624596,,32,0,7,47.4
0,2023-01-31T23:00:00.000,795,6.01,32,41.878865584,-87.625192142,3,17.59,0,0,17.59
0,2023-01-31T23:00:00.000,754,12.11,44,41.740205756,-87.615969523,8,30.5,0,0,30.5
0,2023-01-31T23:00:00.000,1560,11.6,63,41.795430631,-87.696435232,39,31,0,0,31
3.5,2023-01-31T23:00:00.000,540,6.4,8,41.899602111,-87.633308037,3,17,0,0,20.5
0,2023-01-31T23:00:00.000,2798,14.84,28,41.874005383,-87.66351755,,40,0,1,41
0,2023-01-31T23:00:00.000,2187,20.1,1,42.009622881,-87.670166857,43,65.87,0,0,65.87
0,2023-01-31T23:00:00.000,600,0,2,42.001571027,-87.695012589,77,8.75,0,0,8.75
1,2023-01-31T23:00:00.000,364,1.14,,,,8,10,0,0,11
2,2023-01-31T23:00:00.000,840,2.8,32,41.878865584,-87.625192142,7,11.5,0,0,13.5
0.9,2023-01-31T23:00:00.000,228,0.9,8,41.899602111,-87.633308037,32,5.5,0,0,6.9
2,2023-01-31T23:00:00.000,138,0.29,8,41.899602111,-87.633308037,8,4,0,1,7.5
0,2023-01-31T23:00:00.000,138,0.45,3,41.96581197,-87.655878786,3,4.5,0,0,4.5
0,2023-01-31T23:00:00.000,425,1.73,8,41.899602111,-87.633308037,7,7.75,0,0,7.75
2,2023-01-31T23:00:00.000,364,1.33,8,41.899602111,-87.633308037,8,7,0,0,9.5
0,2023-01-31T23:00:00.000,0,0,44,41.740205756,-87.615969523,44,3.25,0,0,3.25
9.1,2023-01-31T23:00:00.000,1174,16.63,76,41.980264315,-87.913624596,8,41,0,4,54.6
0,2023-01-31T23:00:00.000,1093,6.08,8,41.899602111,-87.633308037,5,18.25,0,0,18.25
2,2023-01-31T23:00:00.000,1500,1,76,41.980264315,-87.913624596,32,43.75,0,4,49.75
0,2023-01-31T23:00:00.000,983,9.01,76,41.980264315,-87.913624596,,24,0,19.5,43.5
2,2023-01-31T23:00:00.000,538,1.84,32,41.878865584,-87.625192142,33,10,0,0,12
0,2023-01-31T23:00:00.000,660,5.6,32,41.878865584,-87.625192142,6,16,0,0,16
3.1,2023-01-31T23:00:00.000,780,4.8,28,41.874005383,-87.66351755,23,15,0,0,18.1
0,2023-01-31T23:00:00.000,323,1.13,32,41.878865584,-87.625192142,8,6.5,0,0,6.5
3.4,2023-01-31T23:00:00.000,820,3.2,76,41.980264315,-87.913624596,76,12.5,0,4,20.4
9.85,2023-01-31T23:00:00.000,1492,17.33,76,41.980264315,-87.913624596,8,43.75,0,5,59.1
0,2023-01-31T23:00:00.000,151,0.41,8,41.899602111,-87.633308037,32,4.5,0,0,5
0,2023-01-31T23:00:00.000,1032,3.55,33,41.857183858,-87.620334624,8,13.5,0,0,13.5
0,2023-01-31T23:00:00.000,786,7.7,31,41.850266366,-87.667569312,29,21.25,0,0,21.25
5,2023-01-31T23:00:00.000,780,28.7,76,41.980264315,-87.913624596,16,27,0,4,36
0,2023-01-31T23:00:00.000,46,0.01,8,41.899602111,-87.633308037,8,3.25,0,0,3.25
0,2023-01-31T23:00:00.000,973,3.37,8,41.899602111,-87.633308037,6,11.82,0,0,11.82
10.8,2023-01-31T23:00:00.000,1504,17.23,32,41.878865584,-87.625192142,,43,0,10.5,64.8
4,2023-01-31T23:00:00.000,360,0,32,41.878865584,-87.625192142,8,6.25,0,1,11.25
0,2023-01-31T23:00:00.000,1079,11.84,24,41.901206994,-87.676355989,,31,0,0,31
0,2023-01-31T23:00:00.000,120,0.6,32,41.880994471,-87.632746489,28,4.75,0,0,4.75
2.45,2023-01-31T23:00:00.000,273,0,8,41.899602111,-87.633308037,32,10,0,0,12.45
0,2023-01-31T23:00:00.000,1510,12.69,7,41.922686284,-87.649488729,43,40.83,0,0,40.83
5,2023-01-31T23:00:00.000,431,0,28,41.874005383,-87.66351755,8,10,0,0,15
0,2023-01-31T23:00:00.000,1591,18.73,41,41.794090253,-87.592310855,,50.37,0,0,50.37
6.3,2023-01-31T23:00:00.000,1131,7.15,28,41.874005383,-87.66351755,4,20.5,0,0,27.3
0,2023-01-31T23:00:00.000,1332,15.18,76,41.980264315,-87.913624596,,38.25,0,6,44.25
0,2023-01-31T23:00:00.000,900,7.9,32,41.878865584,-87.625192142,4,21.5,0,0,21.5
6.6,2023-01-31T23:00:00.000,840,11.3,76,41.980264315,-87.913624596,21,28.5,0,4,39.1
8.1,2023-01-31T23:00:00.000,1750,13.66,76,41.980264315,-87.913624596,77,35.5,0,4.5,48.6
0,2023-01-31T23:00:00.000,429,1.33,8,41.899602111,-87.633308037,8,7,0,0,7
9.4,2023-01-31T23:00:00.000,1200,17.43,76,41.980264315,-87.913624596,8,42.5,0,4,56.4
3.25,2023-01-31T23:00:00.000,780,5,32,41.878865584,-87.625192142,6,15.75,0,0,19
0,2023-01-31T23:00:00.000,1200,0.7,16,41.953582125,-87.72345239,,29.75,0,0,29.75
11.94,2023-01-31T23:00:00.000,1440,17.7,76,41.97907082,-87.903039661,32,43.25,0,4,59.69
0,2023-01-31T23:00:00.000,840,0.2,8,41.899602111,-87.633308037,22,14.5,0,0,14.5
2,2023-01-31T23:00:00.000,1196,7.64,32,41.878865584,-87.625192142,30,16.67,0,0,18.67
4,2023-01-31T23:00:00.000,1080,0.4,32,41.878865584,-87.625192142,6,21.25,0,1,26.25
0,2023-01-31T23:00:00.000,1244,11.99,42,41.77887686,-87.594925439,75,31,0,0,31
5,2023-01-31T23:00:00.000,747,4.65,76,41.980264315,-87.913624596,,14.5,0,11.5,31.5
0,2023-01-31T23:00:00.000,693,2.66,32,41.878865584,-87.625192142,7,10.5,0,0,11
1.61,2023-01-31T23:00:00.000,420,3.04,8,41.899602111,-87.633308037,6,10.25,0,0,12.36
8.4,2023-01-31T23:00:00.000,1860,14.7,76,41.980264315,-87.913624596,1,37.5,0,4,49.9
12,2023-01-31T23:00:00.000,1314,17.7,76,41.97907082,-87.903039661,32,43.5,0,4,60
0,2023-01-31T23:00:00.000,377,1.73,28,41.874005383,-87.66351755,8,7.75,0,0,7.75
1.5,2023-01-31T23:00:00.000,720,0.2,8,41.899602111,-87.633308037,7,13,0,0,14.5
0,2023-01-31T23:00:00.000,957,12.32,44,41.740205756,-87.615969523,,31.25,0,0,31.25
0,2023-01-31T23:00:00.000,300,1,32,41.877406123,-87.621971652,28,6,0,1,7
0,2023-01-31T23:00:00.000,438,1.1,8,41.899602111,-87.633308037,32,6.75,0,0,6.75
8.75,2023-01-31T23:00:00.000,1694,15.45,,,,7,39.25,0,4,52.5
0.75,2023-01-31T23:00:00.000,150,0.52,32,41.884987192,-87.620992913,32,4.5,0,0,5.75
8.8,2023-01-31T22:45:00.000,1260,15.8,76,41.980264315,-87.913624596,8,39.5,0,4,52.3
0,2023-01-31T22:45:00.000,1080,0.6,50,41.706125752,-87.598255838,41,28,0,0,28
0,2023-01-31T22:45:00.000,298,1.28,3,41.96581197,-87.655878786,77,6.25,0,0,6.25
0,2023-01-31T22:45:00.000,1260,0,76,41.97907082,-87.903039661,,34.5,0,6,40.5
4,2023-01-31T22:45:00.000,7,0,48,41.729676423,-87.572717134,48,11.75,0,0,16.25
0,2023-01-31T22:45:00.000,532,6,76,41.980264315,-87.913624596,10,16.75,0,0,16.75
2,2023-01-31T22:45:00.000,771,3.72,32,41.878865584,-87.625192142,28,13,0,0,15.5
0,2023-01-31T22:45:00.000,941,9.52,10,41.985015101,-87.804532006,19,25,0,0,25
3.3,2023-01-31T22:45:00.000,580,4.5,8,41.899602111,-87.633308037,6,12.92,0,0,16.22
3.66,2023-01-31T22:45:00.000,860,4.5,6,41.944226601,-87.655998182,21,14.34,0,0,18
0,2023-01-31T22:45:00.000,10,0,6,41.944226601,-87.655998182,6,3.25,0,17,20.75
2,2023-01-31T22:45:00.000,194,0.65,8,41.899602111,-87.633308037,8,5,0,1,8.5
8.25,2023-01-31T22:45:00.000,1287,14.44,56,41.79259236,-87.769615453,41,36.25,0,4.5,49.5
2,2023-01-31T22:45:00.000,264,1.05,32,41.878865584,-87.625192142,8,5.5,0,0,8
0,2023-01-31T22:45:00.000,540,2.8,28,41.874005383,-87.66351755,33,10.25,0,0,10.25
0,2023-01-31T22:45:00.000,7,0.06,76,41.980264315,-87.913624596,76,3.25,0,0,3.25
7.65,2023-01-31T22:45:00.000,1088,12.98,76,41.980264315,-87.913624596,21,32.75,0,5,45.9
0,2023-01-31T22:45:00.000,1200,0,41,41.794090253,-87.592310855,27,28.75,0,0,28.75
2.45,2023-01-31T22:45:00.000,193,0.39,8,41.899602111,-87.633308037,8,10,0,0,12.45
6.05,2023-01-31T22:45:00.000,960,0.6,56,41.79259236,-87.769615453,32,25.75,0,4,35.8
0,2023-01-31T22:45:00.000,1610,18.46,76,41.980264315,-87.913624596,8,45.5,0,4,49.5
0,2023-01-31T22:45:00.000,691,1.82,6,41.944226601,-87.655998182,3,8.75,0,0,8.75
0,2023-01-31T22:45:00.000,1560,9.5,,,,,27.25,0,0,27.25
